area_sqft,bedroom,bathroom,parking,price,Cluster
2464.2000000000003,0,0,0,1300000,1
2806.45,3,3,2,15000000,0
2481.3125,8,6,1,37500000,0
1026.75,5,3,1,16000000,0
1711.25,2,1,0,55000,1
10952.0,4,3,2,75000,0
3422.5,22,4,3,500000,0
1822.5,0,0,0,500000,1
1095.2,4,4,2,15000000,0
1369.0,6,4,3,21500000,0
1080.0,0,0,0,450000,1
1026.75,0,0,0,23500000,1
2053.5,5,5,1,60000000,0
2310.1875,0,0,1,4200000,1
3080.25,0,0,1,4200000,1
1860.984375,0,0,0,4500000,1
3080.25,0,0,0,4200000,1
1219.265625,0,0,1,6000000,1
5476.0,0,0,0,8000000,1
650.0,1,0,0,2300000,1
8898.5,0,0,0,4200000,1
2278.125,0,0,0,130000,1
1369.0,0,0,0,750000,1
1026.75,4,4,1,30000000,0
7187.25,6,6,6,81000000,0
4107.0,5,5,6,55000000,0
1026.75,6,2,1,13000000,0
7871.75,4,0,1,273258,1
1026.75,4,3,1,30000000,0
2395.75,0,3,2,225000,1
21356.4,0,0,0,375000,1
1112.3125,5,4,1,17500000,0
1540.125,0,0,0,1450000,1
4107.0,6,5,1,65000000,0
1026.75,3,1,1,9500000,1
2181.84375,6,3,1,9000000,0
4791.5,0,0,0,2900000,1
3080.25,16,10,2,80000000,0
1026.75,3,3,1,20000000,0
25515.0,0,0,0,1600000,1
8214.0,0,0,0,1500000,1
2395.75,0,0,0,11000,1
5476.0,0,0,0,4100000,1
1369.0,7,3,1,31000000,0
1100.0,0,0,0,495000,1
2916.0,0,2,4,900000,1
4107.0,5,4,2,200000,0
1200.0,2,1,1,15000,1
7016.125,0,1,1,20000,1
256.6875,3,3,1,17500000,0
1026.75,5,3,1,19500000,0
500.0,5,0,6,60000,0
200.0,0,0,5,11000,1
2395.75,3,4,2,60000,0
21904.0,0,0,0,3500000,1
2738.0,5,4,1,65000000,0
6845.0,6,6,4,150000000,2
3422.5,0,0,0,3500000,1
32856.0,5,7,20,250000000,5
2738.0,0,0,0,3500000,1
2053.5,6,6,2,37000000,0
1026.75,4,3,1,19000000,0
4107.0,6,5,3,105000000,0
3422.5,0,0,0,4500000,1
2053.5,0,0,0,3400000,1
3764.75,5,5,3,280000,0
2738.0,5,6,3,65000000,0
1000.0,2,2,1,25000,1
1112.3125,5,3,1,19500000,0
10952.0,43,20,0,1800000,4
1369.0,8,5,1,24000000,0
1822.5,2,2,1,13000,1
1711.25,4,4,2,200000,0
2224.625,4,2,1,95000,1
27380.0,0,0,0,600000,1
63787.5,0,0,0,2000000,3
1625.6875,3,4,3,35000000,0
2053.5,17,19,4,250000,4
1026.75,4,3,2,60000,0
1369.0,5,2,1,20000000,0
1369.0,6,4,1,23500000,0
1347.609375,4,4,1,24000000,0
1980.0,0,0,0,700000,1
1833.0,4,3,1,80000,0
2053.5,2,1,0,16000,1
3208.59375,4,4,2,40000000,0
5818.25,1,1,1,18000,1
4113.845,0,0,0,3000000,1
4791.5,2,2,1,25000,1
1754.03125,4,3,2,39999999,0
1711.25,2,2,1,60000,1
2053.5,3,3,2,65000,0
2652.4375,7,3,1,43500000,0
1026.75,1,1,0,10000,1
1026.75,4,2,1,25000,1
1026.75,1,1,0,20000,1
1369.0,4,4,1,100000,0
10952.0,5,4,12,270000,5
4920.0,0,0,0,430000,1
3280.5,0,0,0,2000000,1
38332.0,0,0,0,1100000,3
3422.5,0,0,0,3500000,1
2053.5,2,1,1,20000,1
2738.0,0,0,0,2700000,1
1540.125,4,4,1,150000,0
2200.0,0,0,0,450,1
1711.25,2,2,1,60000,1
855.625,4,3,1,22500000,0
2053.5,0,4,2,45000000,0
4449.25,5,6,4,85000000,0
7187.25,6,6,5,160000000,2
10952.0,0,0,0,7500000,1
3764.75,12,8,4,61000000,0
2053.5,6,6,2,45000000,0
1540.125,5,5,2,49500000,0
1197.875,6,6,1,24000000,0
3422.5,7,7,4,60000000,0
855.625,5,5,1,22500000,0
4107.0,5,5,0,69000000,0
2738.0,0,0,0,68000000,1
6160.5,0,0,0,3700000,1
5818.25,5,6,4,62000000,0
6160.5,0,0,0,3700000,1
4107.0,7,7,4,69000000,0
2053.5,6,7,2,45000000,0
4107.0,6,5,0,65000000,0
2053.5,8,7,4,42000000,0
1197.875,2,1,1,13000000,1
1090.921875,2,1,1,12700000,1
855.625,2,1,1,11000000,1
4738.5,0,0,0,3050000,1
1026.75,2,1,1,12000000,1
2053.5,4,3,1,65000,0
1304.828125,2,1,1,12500000,1
1197.875,8,4,1,19000000,0
983.96875,2,1,1,11500000,1
2700.0,6,3,10,80000,5
1454.5625,2,1,1,16000,1
1180.0,3,2,1,60000,1
1411.78125,2,1,1,15000000,1
1026.75,2,1,1,11000000,1
2053.5,0,0,0,1500000,1
1369.0,4,4,1,50000,0
3080.25,0,5,3,400000,0
10952.0,0,0,0,7500000,1
1369.0,0,0,0,4500000,1
23615.25,0,0,0,4600000,1
1369.0,5,5,1,23000000,0
1882.375,7,4,4,60000000,0
